abnormality,abnormality_pred,0.000
0,0.021694586,1
1,0.98812115,1
1,0.12832104,1
1,0.63570845,1
1,0.021533811,1
1,0.98891944,1
0,0.39500323,1
1,0.9942958,1
0,0.029795093,1
0,0.0007191779,1
0,0.23602521,1
1,0.63570845,1
1,0.08481312,1
1,0.14502409,1
0,0.0034085598,1
1,0.6146791,1
0,0.24861729,1
0,0.521148,1
1,0.22609736,1
1,0.9978042,1
0,0.010039153,1
0,0.7199233,1
1,0.9970741,1
0,0.72129107,1
0,0.9995376,1
1,0.97296935,1
1,0.42756382,1
0,0.0150119625,1
0,1.0832653e-05,1
0,0.5579333,1
0,0.53514993,1
1,7.71765e-05,1
0,0.9852771,1
0,0.0043619513,1
1,0.0052734865,1
0,0.000948634,1
1,0.98605436,1
0,0.99896,1
0,0.012506943,1
0,0.7773557,1
1,0.010782569,1
1,0.008298043,1
0,0.59730965,1
0,0.005258704,1
1,0.029108087,1
0,0.10188409,1
1,0.016272368,1
1,0.8680189,1
0,0.05836954,1
0,0.020379199,1
1,0.004603374,1
0,0.5483615,1
0,0.606882,1
1,0.5508958,1
0,0.0014709254,1
1,0.9756257,1
1,0.654622,1
0,0.5164469,1
0,0.21450908,1
1,0.9845791,1
0,0.5389333,1
0,0.96554506,1
0,0.009636651,1
1,0.57355845,1
0,0.15370023,1
0,0.46736026,1
1,0.89137036,1
0,0.012715266,1
1,0.2953475,1
1,0.4368958,1
1,0.9971945,1
1,0.91404474,1
1,0.9377146,1
1,0.86029714,1
1,0.45339268,1
1,5.6302913e-05,1
0,0.44097158,1
1,0.97366905,1
0,0.0031795367,1
0,0.0012788964,1
0,0.14818706,1
0,0.98927563,1
0,0.03326148,1
1,0.99964416,1
1,0.99843436,1
0,0.8913947,1
0,0.9845561,1
1,0.0014262443,1
1,0.55659103,1
1,0.059023403,1
1,0.88794035,1
1,2.1337055e-05,1
1,0.9425147,1
0,0.06514215,1
0,0.3110434,1
1,0.021533811,1
0,0.09419886,1
0,0.9708073,1
0,0.045057483,1
1,0.2113784,1
1,0.7293108,1
1,0.99330914,1
1,0.99019617,1
1,0.30799422,1
0,0.7832744,1
0,0.6614873,1
1,0.99991596,1
1,0.61174035,1
0,0.6110342,1
0,0.01496069,1
1,0.98688066,1
0,0.13944209,1
0,0.9771697,1
0,0.7969348,1
0,0.005962001,1
1,0.9957009,1
1,0.13613944,1
1,0.42885324,1
0,0.10619164,1
1,0.31590292,1
1,0.105714075,1
1,0.6663442,1
0,0.99667114,1
0,0.3043832,1
1,0.92184615,1
0,0.23793763,1
0,0.19369997,1
0,0.83007264,1
0,0.18050708,1
0,0.00058230973,1
1,0.010411242,1
0,0.0041305264,1
1,0.57266474,1
1,0.94107175,1
1,0.004488879,1
0,0.00025779888,1
1,0.6092728,1
1,0.96168745,1
0,0.9755853,1
0,0.027585104,1
0,0.00041154787,1
1,0.506253,1
0,0.30068085,1
1,0.91899407,1
1,0.002071922,1
0,0.10996347,1
1,0.92487264,1
1,0.000913902,1
0,0.010231325,1
0,0.8772831,1
0,0.013226113,1
1,0.7311317,1
0,0.11814746,1
0,0.9981541,1
0,0.18624203,1
0,0.9901978,1
0,7.885796e-05,1
1,0.5751241,1
1,0.21416728,1
1,0.9935968,1
1,0.004219229,1
0,0.02200529,1
0,0.92889714,1
1,0.06462583,1
1,0.7013738,1
1,0.27725056,1
0,0.14877458,1
1,0.944822,1
1,0.29377058,1
0,0.09108037,1
0,0.462166,1
0,0.05716287,1
0,0.0021127367,1
0,0.6634113,1
0,0.15955685,1
1,0.93272877,1
1,0.9740263,1
0,0.012494482,1
0,0.8157051,1
1,0.99981505,1
1,0.9086227,1
1,0.42885324,1
1,0.9704409,1
1,0.92642534,1
1,0.9908613,1
1,0.9443034,1
1,0.13209291,1
1,0.42885324,1
0,0.0048800744,1
0,0.005980577,1
0,0.9132558,1
0,0.39948303,1
1,0.99965084,1
0,0.020235514,1
0,0.821411,1
1,0.99982977,1
0,0.0017314407,1
1,0.09256316,1
1,0.99845994,1
1,0.9997639,1
0,0.03714317,1
0,0.031813983,1
1,0.763168,1
1,0.7524352,1
0,0.9627154,1
0,0.00026895938,1
1,0.96754575,1
1,0.15718009,1
1,0.7346446,1
0,0.6962586,1
0,0.8650473,1
1,0.013283096,1
0,0.1752898,1
1,0.7613738,1
0,0.1333295,1
1,0.99897313,1
1,0.97468525,1
0,0.3719894,1
0,0.99381566,1
1,0.88831085,1
1,0.009993176,1
0,0.9889408,1
1,0.670385,1
0,0.5968569,1
1,0.92642534,1
1,0.8913234,1
1,0.08906451,1
0,0.34463134,1
1,0.77847624,1
1,0.03101401,1
1,0.29347688,1
0,0.059377614,1
1,0.63053924,1
0,0.59103173,1
1,0.13848679,1
0,0.00047907385,1
0,0.35323018,1
0,0.46592444,1
0,0.9890047,1
0,0.0027152011,1
0,0.38169375,1
0,0.13987254,1
0,0.36240715,1
1,0.016329171,1
1,0.0042433618,1
0,0.45633706,1
0,0.08518007,1
0,0.9967096,1
1,0.8697938,1
0,0.006782716,1
1,0.9991055,1
0,0.0006427556,1
1,0.91536796,1
0,0.95577097,1
1,0.58552223,1
0,0.1601671,1
0,0.029530425,1
1,0.0035941147,1
1,0.014286002,1
