abnormality,abnormality_pred,0.500
1,0.26308429510027054,0
1,0.04320747958263382,0
0,0.012343644559695832,0
0,0.9815332293510437,1
0,0.9971309155225754,1
1,0.7055557634339493,1
0,0.37513544422836276,0
0,0.00025972056170553426,0
0,0.4000851538730785,0
0,0.5445420085889054,1
0,0.5530535272118868,1
1,0.06750648020170047,0
0,0.7006671205163002,1
0,0.7530280528590083,1
1,0.049437447403761325,0
0,0.3907792408717796,0
0,0.8670836240053177,1
0,0.1628651165847259,0
1,0.8063952922821045,1
1,0.8834465444087982,1
0,0.0005232613370935724,0
1,8.976009045991162e-05,0
1,0.40534785110503435,0
0,0.6622272817330668,1
1,0.09970177171481964,0
1,0.6298053618520498,1
1,0.2329777365011978,0
1,0.7739860583096743,1
0,0.19143371964219114,0
0,0.06669566712662345,0
1,0.058454381896594576,0
1,0.43728247579542767,0
1,0.5075914254412055,1
1,0.5035478558347677,1
1,0.0004694308931405544,0
1,0.7569052446633577,1
0,0.042253284660033044,0
0,0.7657578717917204,1
0,0.609792056522565,1
0,0.009631084563915801,0
1,0.8069248273968697,1
1,0.6503334041590279,1
0,0.7377569723030319,1
1,0.03932069708599428,0
1,0.0012419042149109938,0
0,0.3067092876881361,0
0,0.6754388671251945,1
0,0.45495075290091336,0
1,0.25832351857911817,0
0,8.932040854148227e-05,0
1,0.4910501596023096,0
1,0.7045206298109736,1
1,0.02168914405774558,0
0,0.18411973072215915,0
1,0.5297675992562176,1
0,0.47525455597497057,0
1,0.6614491809159517,1
1,0.5103325983072864,1
1,0.47790322739090385,0
0,0.003529587696171177,0
0,0.16997924580937251,0
0,0.7493366467139467,1
1,0.6887223545927554,1
0,0.5948628783226013,1
1,0.21795626686048308,0
1,0.0057368510226513125,0
0,0.45873698499053717,0
1,0.6076365374028683,1
0,0.5450219012608191,1
0,0.048917483894264535,0
1,0.30040798347909003,0
0,0.7572186961770058,1
0,0.5353874266147614,1
0,0.2034443077109529,0
1,0.24536961130797863,0
0,0.9020766317844391,1
0,0.6960735267368818,1
1,0.22542339160766767,0
1,0.01666847120577586,0
1,0.4978386298753321,0
0,1.3020890428094845e-05,0
0,0.17800736139205275,0
1,0.5797879731981084,1
0,0.02165400968834419,0
1,0.030344516140417,0
0,0.8326266035437584,1
0,1.8307035317910447e-05,0
1,0.5035478558347677,1
1,0.5763751603662968,1
1,0.030344516140417,0
1,0.4690006738101147,0
0,0.257500002742745,0
1,0.030344516140417,0
1,0.40091215005145386,0
0,0.19201112477914262,0
1,0.3374027797835879,0
0,0.01572983584284529,0
0,0.2813734146911884,0
1,0.998746320605278,1
1,0.2239604672686255,0
0,0.7491867960998206,1
1,0.43248750588986695,0
1,0.4176314678043127,0
0,0.7740796003490686,1
1,0.5300532864639536,1
0,0.26022853562153614,0
1,0.5072589204646647,1
1,0.33149098232388496,0
1,0.0004049010569886491,0
1,0.21795626686048308,0
1,0.15837157630153342,0
1,0.03356867589864709,0
1,0.21795626686048308,0
0,0.6806814139708877,1
1,0.23222145391628146,0
1,0.00032177477488057327,0
0,0.2545432347001224,0
0,0.16591480317640617,0
0,0.46827285646577366,0
0,0.0718634422046307,0
0,0.7214112486690283,1
0,0.3702078147325665,0
1,0.8868158310651779,1
0,0.9661142081022263,1
1,0.5797879731981084,1
0,0.4849574794233273,0
0,0.7202261919674129,1
1,0.2239604672686255,0
0,0.5934434607625008,1
1,0.030344516140417,0
0,0.0424862173370002,0
0,0.959470584988594,1
0,0.7513632327318192,1
1,0.557878265157342,1
0,0.3934618230559863,0
1,0.5780374944079085,1
1,0.6065856106579304,1
0,0.7462046518921852,1
1,0.47553962224628776,0
1,0.561197715196613,1
1,0.48804621820454486,0
0,0.4387217218463775,0
0,0.8010016828775406,1
0,0.08647504809778184,0
1,0.6387956771068275,1
0,0.39659477211534977,0
1,0.5763751603662968,1
0,0.0003641437387624166,0
1,0.030344516140417,0
1,0.26442597930217304,0
0,0.002302415894803289,0
1,0.1255954412772553,0
0,0.16143695365710056,0
1,0.24448189871918657,0
1,0.43604311127592155,0
1,0.3415986605290793,0
1,0.42529227746490506,0
0,2.5977701941709563e-05,0
0,0.49112240474278224,0
0,0.30619585230306257,0
0,0.540130446490366,1
0,0.040459645418650325,0
1,0.26442597930217304,0
0,0.6162799531593919,1
0,0.6767145463672932,1
1,0.4645667278571963,0
1,0.5797879731981084,1
1,0.22275470987005974,0
0,0.41404270564125323,0
0,0.12096590218061465,0
0,0.00039537862763757217,0
1,0.9952664375305176,1
1,0.6803598913829774,1
1,0.6447836351580918,1
1,0.18557408405467868,0
1,0.6736255511641502,1
0,0.06999562712772134,0
1,0.29885679617382266,0
1,0.030344516140417,0
1,0.17397872410947457,0
1,0.004434885871091865,0
0,0.7882631793618202,1
1,0.4115551837749081,0
0,0.04495206359358761,0
0,0.9949797987937927,1
0,0.4779340266250074,0
0,0.3154338072599785,0
0,0.9634664952754974,1
0,0.024940514761183863,0
1,0.5797879731981084,1
1,0.002272290871760285,0
1,0.5691171404832858,1
0,0.3160780373727903,0
0,0.29767000349238515,0
1,0.22275470987005974,0
0,0.5712221711874008,1
0,0.9624874740839005,1
0,0.4807807623874396,0
0,0.9513266533613205,1
0,0.09826670961412276,0
1,0.5387442652136087,1
0,0.0930940072175872,0
0,0.5731322094798088,1
0,0.7044511502608657,1
1,0.4765632704654763,0
0,0.3480304694878722,0
1,0.22275470987005974,0
0,0.008451852366995638,0
1,0.48844006176637844,0
1,0.677975941915065,1
0,0.06762394012629258,0
0,0.21801633086579386,0
0,0.0010441768376097116,0
1,0.4523753017188028,0
0,0.9262070953845978,1
1,0.7045206298109736,1
1,0.7569052446633577,1
1,0.6298053618520498,1
1,0.2239604672686255,0
1,0.183233071329596,0
0,0.8147012442350388,1
0,0.16131484268407803,0
0,0.16764774697367102,0
1,0.9036522060632706,1
0,0.7352048786488012,1
1,0.21795626686048308,0
1,0.030344516140417,0
1,0.5415937630459666,1
1,0.21795626686048308,0
1,0.011803888191934675,0
1,0.0003429911859029744,0
1,0.21795626686048308,0
0,0.2214283035018525,0
0,0.7457493543624878,1
0,0.3465673316968605,0
1,0.10082495224196464,0
0,0.9756311327219009,1
1,0.6298053618520498,1
1,0.7486039424547926,1
0,0.7496836408549825,1
0,0.4875147891129288,0
0,0.045472345653223556,0
0,0.031916835468521754,0
1,0.9854228496551514,1
0,0.6392007622634992,1
1,0.0004770401253075818,0
