abnormality,abnormality_pred,0.031
1,0.031251505,1
1,0.99995196,1
0,0.7027442,1
0,0.16800472,1
1,0.9999925,1
0,0.08592224,1
1,0.9999989,1
0,0.000121593934,0
0,0.9181484,1
0,0.009482654,0
1,0.99999905,1
1,0.99999666,1
0,0.9938285,1
0,0.020767108,0
0,0.005389056,0
0,0.05121144,1
0,0.024710495,0
1,1.0,1
1,1.0,1
1,0.99999964,1
1,0.9994654,1
1,1.0,1
0,0.93969053,1
0,0.0049455543,0
0,0.99979156,1
1,0.9999285,1
0,0.7057981,1
0,0.0034223006,0
1,0.9999987,1
1,0.99997187,1
1,0.9999976,1
1,0.9902625,1
0,0.98554415,1
1,0.99999976,1
1,0.99970007,1
0,0.1583205,1
1,0.9999989,1
0,0.0069855396,0
0,0.9265443,1
1,0.9999999,1
