abnormality,abnormality_pred,0.500
0,0.25862122,0
0,0.9211254,1
1,0.999998,1
0,0.96312004,1
0,0.5585409,1
0,0.9408505,1
0,0.049917713,0
1,0.9959001,1
0,0.006496608,0
0,0.93231785,1
1,0.9996369,1
1,0.99999547,1
0,0.0027876587,0
0,0.99441886,1
0,0.99646866,1
1,0.9328859,1
1,0.99976104,1
0,0.27346495,0
0,0.2899364,0
0,0.99748755,1
1,0.99446315,1
0,0.99518836,1
0,0.9578146,1
1,0.98755604,1
0,0.9995472,1
0,0.17343724,0
1,0.99617577,1
0,3.1752217e-05,0
0,0.9997439,1
0,0.4136749,0
0,0.012464689,0
0,0.00021124771,0
0,0.0011691895,0
1,0.99971944,1
0,0.24720818,0
1,0.8082448,1
1,0.99725807,1
0,0.039268546,0
0,5.198262e-06,0
0,0.9986714,1
0,0.5305918,1
1,0.9997273,1
0,0.63124865,1
0,0.0027534438,0
0,0.03902216,0
0,0.9829748,1
0,0.9993862,1
1,0.9846079,1
0,0.066046044,0
1,0.99999404,1
1,0.99503267,1
0,0.01718476,0
0,0.013360603,0
0,0.97679865,1
1,0.99991643,1
0,0.9968471,1
0,0.97421163,1
0,0.08215623,0
0,0.45799446,0
0,4.0108687e-05,0
1,0.99809855,1
0,0.9740673,1
1,0.9999145,1
0,0.9326437,1
0,0.99127334,1
0,0.99617934,1
1,0.9676109,1
0,0.9737197,1
1,0.98095876,1
1,0.9066755,1
0,0.8880982,1
0,0.72307706,1
0,0.6696488,1
0,0.95740235,1
0,0.9965114,1
1,0.99899083,1
1,0.9716124,1
0,0.40509808,0
0,8.542906e-05,0
0,0.0022515818,0
0,2.2710525e-05,0
0,7.084766e-05,0
0,0.88727826,1
1,0.999977,1
1,0.99984646,1
0,0.49197057,0
0,0.98696506,1
1,0.5882397,1
0,0.99722123,1
0,0.0006501324,0
1,0.9782317,1
0,0.9065746,1
0,0.00045246098,0
0,0.92982686,1
0,0.6362923,1
0,2.606044e-06,0
0,0.041596998,0
0,0.5234824,1
0,0.0016361714,0
0,0.0068397727,0
0,0.08213923,0
0,0.0006461026,0
0,0.9811897,1
0,0.953452,1
0,0.9983032,1
1,0.9974954,1
0,0.52195,1
0,0.4776402,0
1,0.7930823,1
0,0.16980891,0
0,0.2556268,0
0,0.026234102,0
1,0.9949399,1
1,0.86776435,1
1,0.26710367,0
1,0.5873086,1
1,0.99986386,1
0,0.9992347,1
0,0.994639,1
0,0.00021609731,0
0,0.8582789,1
1,0.758353,1
0,0.19957705,0
1,0.99998295,1
1,0.98524934,1
0,2.3897196e-06,0
0,0.8727425,1
0,0.0006863215,0
0,0.025958177,0
1,0.4580781,0
0,0.011326647,0
1,0.9981792,1
0,0.9939732,1
0,0.9965732,1
1,0.93711853,1
0,0.99681014,1
1,0.9977842,1
0,0.00016792472,0
0,0.84125704,1
1,0.89223504,1
1,0.8999457,1
0,0.9760459,1
0,0.9895856,1
1,0.99754936,1
1,0.99999726,1
0,0.21362871,0
1,0.019450407,0
1,0.95655,1
1,0.9789484,1
1,0.9858721,1
0,0.0004092956,0
0,0.00014119348,0
0,0.07713144,0
0,0.72535336,1
1,0.9923735,1
0,0.9994863,1
0,0.9655596,1
0,1.9141107e-05,0
1,0.9998053,1
0,0.48528987,0
1,0.99999774,1
1,0.9977672,1
0,0.00023851056,0
1,0.71960795,1
0,0.4780952,0
0,0.011952389,0
1,0.9992331,1
0,0.028818779,0
0,0.035808146,0
0,0.99235356,1
1,0.99666744,1
1,0.99999976,1
1,0.79668945,1
0,0.3523534,0
0,0.9792883,1
1,0.99551684,1
0,0.21804337,0
0,0.00085689535,0
0,0.9835713,1
0,0.9978161,1
0,0.98481226,1
0,0.9817125,1
1,0.9998603,1
1,0.9990231,1
0,0.9988601,1
0,0.41449264,0
0,0.97936434,1
0,0.98614085,1
1,0.9999964,1
1,0.14603905,0
0,0.5279336,1
0,0.81571317,1
1,0.9939078,1
0,0.99662834,1
0,4.6834284e-05,0
0,0.00037561255,0
0,0.017599236,0
0,0.04365801,0
0,0.9911753,1
0,0.00014118648,0
1,0.98928154,1
0,0.005903984,0
0,0.00030047624,0
1,0.67457926,1
1,0.99889565,1
0,0.98523766,1
0,0.9964862,1
0,0.0026304538,0
0,0.22176428,0
0,0.9998485,1
1,0.89016825,1
0,0.0067383163,0
0,0.09195591,0
0,0.018261826,0
1,0.0010550865,0
0,0.10035689,0
0,0.98629016,1
0,0.5466487,1
0,0.22052391,0
1,0.99438703,1
0,0.99989665,1
0,0.7657076,1
0,5.8208112e-05,0
0,0.9898093,1
0,0.5766693,1
0,1.8888749e-06,0
0,0.0058332677,0
0,0.9798752,1
0,0.6663699,1
1,0.7408847,1
1,0.99987555,1
0,0.9607376,1
1,0.9998692,1
1,0.9972759,1
1,0.9882069,1
0,0.06711841,0
0,0.96699274,1
0,0.5055769,1
0,0.003604925,0
0,0.013839001,0
0,0.9624629,1
0,0.0017337184,0
0,0.57209957,1
0,0.2151913,0
1,0.800039,1
0,0.00080290873,0
0,0.56910235,1
1,0.999154,1
0,0.99256295,1
0,0.7554305,1
0,0.00013986543,0
1,0.9999988,1
1,0.99150956,1
1,0.99993396,1
1,0.99837434,1
1,0.1963771,0
0,2.0438686e-06,0
0,0.92949945,1
0,0.9856376,1
0,0.9861363,1
1,0.9909033,1
0,0.003987675,0
0,0.0034397037,0
1,0.9966233,1
0,0.96074504,1
0,0.9995511,1
0,6.690202e-06,0
0,0.0431822,0
